platform,post_id,post_type,post_content,post_timestamp,likes,comments,shares,impressions,reach,engagement_rate,audience_age,audience_gender,audience_location,audience_interests,campaign_id,sentiment,influencer_id
Facebook,2807f26b-200c-4a01-b10b-81361a9d4e52,Image,Financial floor send.,06/27/2021 15:43:44,832,169,154,8609,3262,35.41,34,Male,Lithuania,structure,dfe7eeba-9ad3-4411-b699-8c190f8a5ccc,Positive,
Twitter,7bb26d44-218a-4a25-a8b5-9ea2eb0bc2e6,Link,Tell film special morning condition successful bill.,05/10/2021 04:20:30,192,357,180,7097,4529,16.1,49,Male,British Indian Ocean Territory (Chagos Archipelago),question,,,
LinkedIn,836a013f-a366-44b6-9dba-29fa788df37c,Video,Whose science right.,04/07/2021 03:44:37,544,66,53,9817,3390,19.56,19,Male,Kazakhstan,special,,,
Instagram,0eab22d8-3609-4511-a509-26e1ea3cd531,Video,Determine involve couple show where voice catch.,02/10/2024 11:00:31,100,134,155,6525,4277,9.1,36,Male,Sweden,Mr,,Negative,
Twitter,917d6645-623d-422d-ac8f-e14867cc11a2,Link,Face indicate beyond manager vote.,03/21/2021 16:02:53,950,391,102,5088,4454,32.4,49,Other,Guadeloupe,man,,Positive,
Facebook,242b63b4-89c5-4448-9d12-fd0f127dc381,Image,Admit happen local thing kid step site.,07/09/2021 01:05:25,155,187,147,4557,2994,16.33,65,Female,Denmark,might,,,
LinkedIn,094830bb-6da9-41c3-b014-34f896a485df,Image,Bank which particularly another.,11/05/2021 07:22:05,191,250,141,9950,2598,22.4,35,Male,Georgia,city,,,
Facebook,4300ea27-946b-4118-8126-785d40d8fb94,Video,Particularly nice that born take.,01/09/2023 14:14:42,143,57,151,7623,2287,15.35,22,Other,Saint Vincent and the Grenadines,ten,,Neutral,
LinkedIn,18dfc9a8-7e79-41c1-bd21-ee3d2a792921,Image,Look property impact type such rather.,10/09/2022 12:19:44,445,175,35,4923,1149,57.01,48,Female,Palestinian Territory,create,,,
Instagram,9d09c083-3eaa-4212-99b7-5c5ea09024ca,Image,Physical daughter exist assume office network.,04/22/2023 17:10:49,763,312,144,6596,3613,33.74,44,Male,Isle of Man,school,,Neutral,
Instagram,c7a7f6d4-d5e4-4372-a607-212a6e743303,Link,Individual management on can pick enough series.,10/04/2023 20:55:11,610,33,58,2843,2946,23.79,18,Male,Cuba,usually,,,
LinkedIn,c5fb7d98-e79b-456c-be33-d1ccd346acd2,Video,Dinner stage central clear.,06/10/2022 23:27:40,923,466,71,9728,1100,132.73,44,Female,Greenland,clearly,,,d55d12f0-52da-4b73-9e42-4d6825215324
Twitter,aeb4da2b-df46-4fa8-9d0e-9c992dc444c3,Video,Fish offer of.,04/11/2021 14:51:08,190,90,82,3062,1218,29.72,63,Female,Lao People's Democratic Republic,anything,,,
Facebook,029ff8cc-5535-4f13-b444-01839e3ee2e0,Image,Trouble high image population discuss physical security.,12/30/2021 21:58:18,341,302,101,4542,4639,16.04,30,Female,Malaysia,almost,,,
Twitter,f0f551de-2072-45f0-9f8e-291d922515d4,Video,Billion where maybe mind property hundred.,10/16/2021 21:29:40,461,459,78,6688,4301,23.2,58,Female,Armenia,happen,,Negative,
Facebook,5a3f82f9-0680-4849-82de-9e85fd5b0ff6,Video,Total technology necessary heavy money mean.,11/07/2023 19:08:07,257,395,69,6939,4290,16.81,55,Female,Turks and Caicos Islands,item,3f21e191-a8f9-4d3f-afa2-646b1cda181b,,
LinkedIn,1e5dcde6-4071-4220-97d1-7a50e395a80a,Link,Store start total best order.,02/07/2022 05:37:48,669,403,83,4021,2168,53.27,43,Other,Rwanda,mention,e10720cd-68c2-4fda-9aa5-380bed3e6916,,39f10e6a-2330-43a4-afac-c9c7407cca39
Twitter,50cf93a1-cedf-4217-842a-e75c189b2c17,Video,Letter stand interest.,09/17/2023 06:51:44,997,185,14,3846,1302,91.86,65,Female,Bermuda,down,,,
Facebook,f24bcfb6-fd14-401f-aec5-2a175badd07e,Link,Particularly take power page only.,02/24/2024 16:32:07,939,37,146,2613,928,120.91,35,Other,Iraq,report,,,
Twitter,a685bf0f-e0da-4769-85cd-74dd2c4d6334,Image,Reveal shake region stop.,07/01/2022 08:11:32,409,110,44,5913,1517,37.11,32,Other,Portugal,success,f3f4f7fe-4d56-419f-8ca4-8b231b6b6733,Negative,
Twitter,58bb85a7-7c56-4711-aa58-7306936bebfb,Video,Coach short bring speak say.,12/20/2023 13:08:43,510,178,168,2921,2060,41.55,45,Male,Bosnia and Herzegovina,their,,,
LinkedIn,0f1e8f31-9be9-4aa6-b2ce-5084d089df41,Image,Despite team itself player single.,08/27/2023 02:44:19,501,277,187,8356,1915,50.39,62,Female,Bangladesh,news,,,
Facebook,f617681d-fec7-408c-a8d3-2b7a74db24b5,Image,Wide enjoy color at.,05/07/2021 15:22:38,380,356,32,8107,2708,28.36,18,Male,United Arab Emirates,fall,,,
Instagram,d8081409-f275-478c-9978-95b475156471,Link,Leg wrong wait relationship glass network.,10/17/2022 03:38:11,903,205,134,6736,4007,31.0,47,Other,Mozambique,wait,,,
Instagram,a66a8eaf-29b8-4bfc-b6ed-ee234b7d66ff,Video,Air major government heart goal.,12/24/2021 02:29:29,781,296,112,7266,3481,34.16,31,Female,Lebanon,ever,,,
Instagram,0a0d96e5-d75d-4545-8577-5c04979670c1,Video,Need single trial care should three.,09/30/2023 20:07:46,421,201,29,4870,4342,14.99,19,Female,Botswana,thing,,Neutral,
Facebook,393972ba-5d8b-43e7-b32e-3ccd073bef31,Video,Different happen result accept production paper consider.,04/02/2021 13:51:50,984,142,152,9562,1497,85.37,20,Other,Lesotho,Mrs,,,
Twitter,435bb7da-6dd0-463c-ac6f-d518e0062d05,Link,Popular figure enough base.,12/17/2021 00:28:08,852,353,164,6399,2746,49.85,43,Other,China,ahead,950bc600-365d-4cf5-83e5-a9014a5652d5,Positive,
Instagram,1877a2bb-b9a6-4fa9-bfcb-7e6db62c6926,Link,Against wind amount cell usually key plan.,02/14/2022 22:12:13,105,35,134,1114,2407,11.38,40,Other,Jamaica,recent,,,
Instagram,09945f5f-125d-4a98-956e-f97b658f3a08,Link,Peace network morning wall.,04/26/2023 10:07:57,136,51,65,9177,4981,5.06,60,Male,Iceland,upon,,,
Instagram,76645c2d-5862-4515-a3d3-987f1f2e54d3,Image,Member step senior.,07/25/2021 13:16:50,846,75,56,6655,3096,31.56,39,Other,Sao Tome and Principe,summer,,Negative,
Twitter,28a03373-46ff-47fd-8ed7-03dba1c2eb59,Link,Hear field book cold quickly middle.,05/17/2021 14:08:11,454,184,156,9114,4423,17.95,48,Male,Liberia,fine,6a0b9ddf-1333-4633-83cb-3dd601cc5e17,,
Twitter,97c39e9c-4501-4ae3-9e0b-fc5216067645,Image,Fall system language.,08/06/2021 23:00:24,35,436,157,4206,2519,24.93,64,Female,Uganda,public,21426d61-b313-4f13-b6a2-1d4cca93acfc,,
LinkedIn,1624898d-52f9-4fd8-9571-15f268135be8,Video,Realize run what high sign serious decide interview.,09/01/2021 03:56:01,448,99,159,4588,1292,54.64,48,Male,Northern Mariana Islands,north,,,
Facebook,78f18c82-0f65-4160-9151-e56e0f0bd171,Image,Matter group pressure large.,03/14/2022 01:18:28,620,51,113,2322,4890,16.03,61,Female,United Arab Emirates,job,,,
Facebook,3f1168ee-fa43-421e-9d4b-2d672bbb8d3d,Image,Democratic respond key record late institution.,01/27/2024 20:44:23,469,491,163,2762,4727,23.76,46,Other,Martinique,whole,9c254583-a902-4e3a-807c-79524952f9d7,Positive,
Twitter,7f8dd743-b16e-47cf-ab14-14f0404f4fdc,Link,Build across his pretty maybe range work drive.,12/18/2023 15:23:23,627,466,106,5481,4210,28.48,25,Other,Nauru,which,,,0d58b14f-609d-4fbc-8ca0-2c26bec0b8aa
Facebook,802e3d46-5e55-444c-a9d6-1e7dd994f23f,Image,For born everyone bed.,01/28/2022 08:52:43,166,368,103,1112,4547,14.01,34,Female,Tonga,rich,,,
Facebook,f99b9573-3045-4e08-a45c-bfba12738372,Video,Have song chance health page inside church.,10/15/2023 02:28:51,353,173,54,6114,3867,15.0,28,Male,Seychelles,piece,,,
Twitter,3fd45acf-e1f6-4e21-9ae7-6b0604843363,Video,Strategy opportunity response later few.,11/25/2023 10:18:05,758,186,33,2596,1122,87.08,65,Other,Panama,red,,,
Instagram,d7f7250b-9d0d-4a03-852d-6930b06b53f2,Link,Baby which girl price color art can generation.,09/26/2023 09:05:29,467,51,38,4738,2509,22.16,26,Female,Croatia,bed,,,
Instagram,25ff281f-097f-469b-827c-dfcedb4a3918,Link,Window all including arm.,03/30/2021 22:34:08,421,57,19,4115,3956,12.56,25,Other,Sao Tome and Principe,section,6c50919b-ff47-41a7-9f48-db6766929a36,,
Twitter,321c5558-90f3-4d51-b36f-0fcb6483cc07,Image,Seat practice head attorney international.,09/27/2021 09:44:17,436,441,55,5121,2630,35.44,47,Other,Svalbard & Jan Mayen Islands,training,,,
Instagram,ae8d2218-eecb-4006-bcea-8b23b8a2c0fd,Image,Trade I recently among well.,12/04/2021 10:51:23,93,328,39,6884,4782,9.62,46,Other,Burundi,determine,f51efd44-8101-4488-961b-3003449f7144,Negative,
Instagram,3e98aeaa-32b5-4ee9-8239-a84a48af6eed,Link,Father evidence society herself tend.,03/29/2021 15:19:58,966,216,197,4272,1614,85.44,24,Male,Mauritania,listen,a9307f04-70d5-433d-96e4-b1b27f521ab2,,
LinkedIn,0df0877d-689c-479f-a747-ce7f9de2e875,Image,Conference after PM budget myself begin look remain.,06/09/2022 12:11:02,713,483,59,7779,2324,54.0,38,Female,Greenland,computer,d5e21cff-e2a7-41d5-8498-be3942cd0492,Negative,9fc98a20-a909-433d-9675-14414bada580
Facebook,d40af344-eea4-48b8-b045-088e24f64acd,Video,Grow tax eye chance dream song blood.,10/20/2021 14:07:36,663,134,126,9077,889,103.82,22,Male,Serbia,fill,,Negative,
LinkedIn,7b7d1da8-a4d4-4ce2-8b58-45519d67c817,Link,Moment white research world wall his.,09/25/2023 16:31:19,121,123,66,6527,1750,17.71,35,Male,Liberia,support,,,
Instagram,a530656c-9f88-453a-abb1-b121ee9febdb,Link,Activity left over study beautiful throughout.,04/03/2022 10:44:02,636,387,43,7379,2520,42.3,62,Other,Germany,no,,,
Instagram,509c4ea5-c81a-4180-ac4f-a1d816eefe13,Image,Describe about reach until run country.,03/06/2023 06:19:00,279,477,64,5759,4972,16.49,57,Male,Iceland,free,,,
LinkedIn,d278b8b9-6930-40d1-8833-09ec6f2bc2da,Video,Environmental sort tend join school.,05/27/2021 19:18:43,58,21,128,4406,3176,6.52,39,Female,Saint Helena,finish,74a7c91e-1fbf-4c32-b0e1-3f73502f7c0f,,
LinkedIn,469b1513-17cf-4d63-827e-a3afcc1372cf,Image,Simple rock child morning.,11/20/2022 08:43:35,813,109,137,8278,3144,33.68,59,Other,Qatar,kind,,,
LinkedIn,b284408e-5aef-4b71-aaa4-6e8e8f2a3c89,Video,Until sing peace.,12/15/2021 20:37:52,522,375,22,8432,922,99.67,49,Female,Mayotte,one,4d34000f-ab6f-497e-9360-cb71c73e304d,Negative,
LinkedIn,36247930-4832-45e6-b285-7b0b12580e8a,Link,Those hear stay expert someone hit husband.,08/11/2021 00:59:15,379,166,4,4536,2479,22.15,52,Male,Palestinian Territory,left,,Positive,
Facebook,49792d7b-f082-43fb-889c-e718b8887933,Video,Buy state approach decide.,11/29/2023 21:35:09,792,244,141,2197,2560,45.98,64,Other,Uganda,account,,Negative,
Facebook,e75f3d5d-ef6d-4c1c-8b7e-9ba557db3898,Image,Box expect peace provide character.,01/08/2022 00:54:38,904,495,182,9733,1560,101.35,47,Other,Andorra,work,,,
LinkedIn,3a74b8e0-52c6-432e-85b5-3e305142b01f,Link,Involve here foot often.,12/14/2021 22:06:41,951,433,193,6373,4139,38.1,56,Male,Myanmar,soldier,de883666-8aea-4b95-b536-604963423e88,Neutral,
Facebook,c751ce3f-9eb3-48f8-a1bb-18b4c0f076ef,Link,Effort hope collection shoulder.,12/24/2022 12:51:12,62,473,104,6240,2009,31.81,60,Male,Luxembourg,cause,,,8125cfaf-2700-4f7a-b786-a30e6e41efb0
LinkedIn,5c6cfc95-6bbb-47a9-99fe-ea98c89ca2f2,Image,Work whole manage put.,02/23/2024 16:41:37,178,188,138,1442,2925,17.23,18,Other,Bhutan,piece,795b1730-6a55-49a3-a71f-3f37ae8a68d0,Positive,
Facebook,e4f3c7a9-ef8e-4156-a9b1-b749e3aabc68,Image,Mother one maintain old offer door low.,03/09/2022 13:03:47,771,217,70,7035,3466,30.53,50,Male,French Guiana,break,,,
Twitter,00eb173f-b6b3-4489-8276-c7a4162978d3,Video,Job company for how feeling.,11/30/2021 11:00:49,803,257,122,5763,3829,30.87,26,Male,Faroe Islands,anything,32479a37-9b4b-4357-960a-a8bf1a33918d,,
LinkedIn,363a144f-e583-4b08-801f-c17e232438c5,Link,Herself government bit because such analysis south event.,03/17/2023 15:33:37,517,220,47,4162,2839,27.62,57,Female,Benin,gas,,,
Instagram,9f369790-0dc8-4c20-b7ad-bf930567afa8,Link,Capital shoulder customer stock indeed trial.,09/20/2021 18:22:28,171,259,104,5947,4501,11.86,42,Other,Zimbabwe,computer,,Neutral,
Facebook,d0b34375-6be7-43cc-b356-f0343588bce5,Image,Care whose various.,11/09/2022 02:42:50,498,67,62,4886,2042,30.71,53,Female,Tunisia,across,,,2cd95f3b-dd7f-471a-853a-ccda849aa07b
Instagram,fa2ba361-b143-4abc-a12a-41728ac51d85,Video,Site rock prevent quickly section statement while.,10/28/2023 20:23:53,935,429,140,8489,1717,87.59,64,Male,United Arab Emirates,these,,,
LinkedIn,d74c78c3-e1c1-48dc-8867-fa7443141b37,Video,Commercial on again floor day part peace.,05/19/2021 12:07:42,245,108,101,5508,2646,17.16,48,Male,Guernsey,administration,07d69334-e0fc-4a97-9638-fe12602a7e6c,,3e4204a1-bc76-4fdd-a755-8cffd27478d0
Instagram,9d50a9f7-2434-4f16-bdb1-d0d9455c2693,Link,Contain politics memory interest.,10/16/2022 14:37:16,976,239,177,3766,2443,56.98,62,Other,Norfolk Island,suddenly,,Negative,
Twitter,c253c6de-d173-43bd-ba09-8ab2b1ced0e7,Video,Similar send enjoy there nor.,05/01/2022 15:49:07,385,289,169,5166,3805,22.16,32,Female,North Macedonia,traditional,,,
Facebook,89f6dc27-64e8-451f-9cc8-c60b90245879,Video,Edge city participant media late.,12/18/2023 04:24:01,826,496,52,5073,4941,27.81,27,Other,Egypt,learn,,,
Facebook,4cfc40a0-9d82-4a59-919a-8489cbaddaca,Link,Forward and report end.,10/14/2023 04:53:14,966,344,107,8039,3160,44.84,62,Other,American Samoa,and,,,
Twitter,5a32c251-eef5-4214-9cc6-fb34744e89a0,Video,Visit thought draw down yourself fight.,09/08/2023 16:33:42,30,345,19,8415,4611,8.54,55,Other,Chad,pass,,Positive,
Instagram,dd66e753-5a3d-4685-b8a9-a80471c93926,Link,School again bed culture and little direction.,05/12/2022 16:24:18,343,200,5,4298,3790,14.46,21,Male,Ukraine,indicate,,,ec79f4e9-ae70-4de5-8356-d627bb57666f
LinkedIn,7321af57-1c56-4a9c-b04f-ea4289c7ed12,Image,Enjoy heavy down put.,02/21/2022 21:37:07,67,380,102,6152,3236,16.97,46,Other,Lesotho,beautiful,1c27938f-720c-4924-b842-03718701f743,Neutral,
Twitter,5ba31ad9-5b2f-4425-b8ca-8eb1d5a640fd,Link,At wind himself change military push PM.,12/23/2023 16:53:15,550,48,134,5112,1236,59.22,29,Other,South Georgia and the South Sandwich Islands,ground,76db7b6b-b95a-4317-9189-493765ff4df5,Negative,
Instagram,05451de5-f04a-4789-a709-a73d524e880e,Image,My collection foreign everybody staff spend.,07/08/2023 20:59:03,543,473,129,2781,4194,27.3,25,Female,Belgium,your,,Positive,
Facebook,a2af2c22-08a7-4269-b8cd-576eac4b084f,Video,Station most gas support.,03/27/2021 21:52:25,188,325,8,2785,4409,11.82,40,Other,Indonesia,leave,,Neutral,
Twitter,aed43102-bff9-4bd3-8af4-4a99e2cd01a9,Link,Turn group out speech group fish table.,04/13/2023 10:34:22,351,240,42,4427,2813,22.5,30,Other,El Salvador,condition,,Neutral,f8f99408-7734-435a-8dda-45228695f452
Twitter,bec25c27-1622-495a-bdb5-44752037039c,Video,Here at itself worry.,04/24/2022 06:33:37,770,445,91,2295,1537,84.97,24,Male,Cyprus,quickly,3a28958a-1477-4a6d-9963-2a8a9b3c1769,,
Instagram,c0754039-a220-4d46-ba58-0e491bb006a4,Link,Book community more report majority sure along.,09/02/2022 18:45:33,999,204,71,4977,2446,52.09,28,Other,Tonga,message,,Positive,
Twitter,b4fbe172-a5f2-4f83-8b1e-fafb851e30bc,Link,Attorney friend defense cell beautiful.,09/08/2021 08:09:11,100,64,34,8858,4482,4.42,47,Male,Iran,and,45f5c4e1-9944-47e8-a5c2-6e9110635022,Neutral,
Facebook,79c782e9-d5ac-45e8-8050-8f91ea973866,Image,Together rate thing forward lawyer mother.,10/31/2022 23:16:30,318,128,162,1692,4003,15.19,61,Male,Trinidad and Tobago,around,aabf5d1a-aa12-43a4-8724-731faf506b88,Neutral,
LinkedIn,5a5525e8-e312-44bd-8d79-31ebd3d3e16c,Image,Total argue appear garden book treat.,07/18/2023 01:37:24,48,70,108,5259,1734,13.03,65,Other,Norfolk Island,treat,,Negative,
Instagram,64d98893-2634-46af-927a-dc7c81429573,Video,Fast certainly best avoid finally third use.,04/01/2021 18:46:55,696,71,164,5756,4514,20.62,54,Female,Philippines,either,,Neutral,
Facebook,cda42959-1c62-4cbb-8e19-4ce2aae3ff90,Image,Show note necessary yes.,02/05/2024 04:10:06,751,234,146,3083,4232,26.72,42,Other,Saint Martin,report,,,
Instagram,03492a76-ede8-4889-a586-fa0dc5643e9c,Video,South popular start increase assume.,10/05/2022 22:12:35,490,277,118,3101,635,139.37,33,Female,Micronesia,push,32159e79-22fe-4621-bc8d-9ce449e0a6b1,Neutral,
Facebook,7888a2ee-18f6-40c9-8801-a8c42c4f5dd4,Video,Soldier however time someone recently executive.,07/27/2021 14:39:16,695,424,82,3323,2303,52.15,36,Other,Taiwan,until,,,
LinkedIn,ea472c6d-a0fc-4699-b41e-d8a2e201a24a,Video,Discover reduce drug risk even.,09/27/2021 19:30:07,501,186,25,5790,2973,23.95,22,Female,Palau,describe,,,
Facebook,f0c901b3-e7ee-4879-a05b-42a86558bbba,Video,Professional seven matter.,06/11/2022 01:25:04,120,471,60,7637,2035,31.99,60,Male,San Marino,plan,,Negative,
Twitter,cd23db31-9f48-4db7-a48d-a3b33f6d8695,Link,Crime hard west suddenly hand order.,12/13/2023 06:48:50,824,1,95,8447,856,107.48,19,Male,Grenada,position,,,
Facebook,8606dee1-6ff9-4a03-8c80-3cac56e0147a,Image,Television minute woman no one over several.,01/23/2024 23:25:21,844,131,199,3778,556,211.15,29,Male,Denmark,can,,,
Facebook,f5b40169-132b-4b90-a5dc-0b4823153fd9,Image,Full option car and.,06/30/2021 06:02:14,73,435,7,1974,3273,15.73,45,Other,Western Sahara,study,,Negative,
Facebook,1fca60f1-8d6c-4242-b3be-679cf806ea5a,Link,Agree key live cost down step.,09/04/2021 19:19:24,899,477,7,1302,4669,29.62,42,Female,Andorra,member,,,
Facebook,a138c9a9-f077-4b22-ae6f-f04c3cc9c960,Video,Than indicate listen deal water step me.,08/20/2023 19:10:59,477,15,9,3831,1210,41.4,29,Female,Costa Rica,push,1a485789-d64b-41ee-87c1-33e92ad75dd8,Neutral,
Twitter,2f9b0d9a-3ebb-4e30-aebc-c0c0d8a2302b,Link,Relate rock talk hot board political believe inside.,01/20/2023 16:21:32,398,495,89,4194,4935,19.9,44,Other,Kenya,personal,,Neutral,
Twitter,ffee3d8c-d764-4660-a702-8a2e52d9c182,Image,Its treatment eye want population however.,07/05/2022 15:23:21,590,11,144,5627,1523,48.92,46,Male,China,memory,,,
Facebook,f1927434-6989-4abd-b3dc-dd4b9d1da572,Video,So government decide number man difference.,11/02/2022 00:10:27,537,288,120,5966,2093,45.15,35,Female,Algeria,occur,,,
Twitter,d867c194-f409-49d7-9164-59d95b331a17,Link,Always bill other brother.,10/16/2022 06:40:44,278,103,145,6212,2695,19.52,21,Female,Gabon,fight,,Negative,
Twitter,d45ee71c-bbaa-46e0-892a-ccb99d256519,Image,Their finally say adult.,08/03/2021 18:44:07,800,355,155,2552,3619,36.2,26,Other,Sweden,old,a7b0485a-4632-4a22-bcbf-e21273365846,,
Facebook,cc01f578-4910-485e-a4b6-5abff8e627b3,Link,Another of ground type down tough final.,08/18/2023 13:30:38,182,256,117,3379,1831,30.31,50,Male,Guatemala,me,4c86ab7a-3998-4418-bf12-34b4eb700588,,
Twitter,40853101-4540-423c-ba2d-162635f09178,Link,Despite attorney technology late.,04/17/2021 03:06:27,954,236,141,3868,4759,27.97,45,Male,Norway,yes,,Negative,
Instagram,e1862152-a23b-49e5-bde9-72913f30651d,Image,Member room enough his.,05/28/2023 23:18:42,237,50,149,4216,2283,19.1,56,Other,Guinea-Bissau,despite,,,
Facebook,d0ad208c-7584-4bda-81e7-6ea1a8168b3b,Video,Focus carry life history still.,07/22/2023 00:05:37,154,28,5,1613,1611,11.61,18,Female,American Samoa,stay,,,
Facebook,c9ce786d-3f3b-48b7-9a2a-b5fc6d785417,Video,Major what through machine guess conference bill.,09/11/2021 18:02:30,801,282,173,9679,2148,58.47,43,Female,British Indian Ocean Territory (Chagos Archipelago),treat,,,
Facebook,daa5695e-7aa6-4aa1-8aff-aab66269d075,Video,Yes police hair can either service.,01/06/2023 07:22:02,641,1,103,1427,2708,27.51,43,Female,Macao,medical,,,
Twitter,a25484c5-dc68-4fe8-8d05-3d40f239be0c,Video,North to game option lot paper.,12/05/2022 10:02:38,496,288,188,7658,3749,25.93,31,Female,Lao People's Democratic Republic,worker,,,
LinkedIn,1efa3ec6-06ec-42ea-a173-4f9bcb225848,Video,Hard nor skin interest daughter fight hand.,03/15/2022 01:44:33,158,456,187,2719,1306,61.33,47,Female,Norfolk Island,doctor,,,
Twitter,716cdfb0-9846-4f37-b5fa-18627fc32c7b,Video,Stage group popular by since.,05/08/2022 05:41:33,725,266,120,9985,1531,72.57,26,Male,Nepal,common,,Positive,f249c132-d303-4032-81a0-6180e34a1ffe
Twitter,8ef3b07e-c478-4503-9794-0aa066df3fec,Link,West effort issue consider left.,06/15/2023 23:48:49,192,358,182,9950,2852,25.67,33,Female,Kuwait,office,f9603fd2-49a1-4151-aa9e-a0ff2fd89ce6,Positive,
Twitter,bdc7be7a-2517-4b8c-8ff4-44110393007a,Video,Explain perform wait concern.,04/19/2022 06:18:52,755,250,198,5363,3470,34.67,58,Male,French Guiana,issue,,Positive,
Facebook,23cfcd39-3863-4fc1-b33c-ff0a3735cbdc,Link,Charge alone deal big public experience.,04/20/2022 14:07:00,243,313,47,5726,3300,18.27,49,Other,Seychelles,reveal,,,
Instagram,e0cabe60-379b-48c6-abc0-8b5fcb3f1d90,Link,Professional item man member pattern.,12/21/2021 14:40:30,172,410,150,7027,2595,28.21,32,Other,Guinea,civil,1ef7470a-3534-4798-95f3-507006022c18,Neutral,
Twitter,2affbbe2-6f9a-47fe-925c-d9f564fcc861,Link,Could skill debate interesting detail office able put.,06/12/2022 19:34:47,158,38,98,3578,4414,6.66,45,Female,Norfolk Island,rate,,,
Instagram,9b3d01fe-b807-4135-b858-35f1ee9e97e2,Link,Cold yourself bit.,05/15/2021 13:56:48,481,485,53,4520,4588,22.21,62,Other,Slovenia,travel,,,
Instagram,7c0a7424-64ac-4162-a79d-238adb6c3dfc,Image,Imagine suggest forget particular hope within both shoulder.,01/21/2024 00:22:15,932,380,43,2166,4588,29.53,48,Female,Falkland Islands (Malvinas),without,9848e85a-1f32-41ea-9284-ef8c2c556458,Negative,
LinkedIn,d6050cb3-2637-4a16-8f99-a7b70387f023,Link,Kid third after significant bit debate up.,07/06/2022 13:21:56,296,109,178,6231,4220,13.82,50,Male,Cambodia,decision,,Positive,
Instagram,aebcf3ec-f13f-4657-bf34-ba9d6687eb25,Image,Various election key necessary as camera question.,06/27/2022 01:36:00,747,44,147,7956,1494,62.78,35,Male,United States Minor Outlying Islands,technology,83532b43-7e4e-478e-bbaa-eabe1f1ea16b,,
LinkedIn,e94433cc-d350-4d85-a7fa-8ba1968afd2d,Link,Positive ten one.,05/30/2021 17:41:56,378,347,166,2151,4486,19.86,52,Male,Palau,let,cd78116a-46a8-4023-bf2e-3f622c04b6b5,,
LinkedIn,792ee8cb-8fa8-42a7-aff1-cf5e500fe154,Link,Card stock stay guess face everyone.,06/14/2023 18:01:35,343,350,15,9135,3362,21.06,53,Male,Nepal,several,,Neutral,
Instagram,332ec70a-1a45-43cc-882d-ac8cd65f7c09,Link,Foreign from grow tend hit million military.,11/13/2021 05:13:44,412,9,10,1314,2248,19.17,32,Female,Venezuela,write,,,cd293fe9-316f-42e9-8aa4-c54988f5c64b
Instagram,d126b8e9-c681-40f1-8f16-416f21a1a9c7,Link,Back raise article around cover senior.,02/22/2024 16:39:22,395,110,78,5639,771,75.62,38,Female,Belgium,number,,Positive,
Facebook,3ef758a5-73dc-463d-8203-65cdcbc1244d,Image,Available let stay them close.,03/15/2023 09:57:45,564,38,96,3797,1509,46.26,64,Other,Namibia,strong,,,
Facebook,b86eba7a-36e0-4ce3-a3af-d08404421afa,Link,Remember instead others.,07/10/2021 09:38:57,213,222,108,9900,929,58.45,28,Other,French Polynesia,offer,,,
Facebook,4d6fec54-9248-4580-90aa-dd9fd38ee044,Link,More everybody until smile society show if.,04/02/2021 15:06:14,514,359,186,9322,1013,104.54,56,Female,Fiji,total,b786c199-9ce2-4936-b6cb-a725d9d4e0e6,Positive,
Twitter,bdbfd78d-c5cb-4c20-befe-cf05a4ff7eac,Link,Man billion deal interest situation important.,04/28/2022 05:12:16,40,187,146,4494,859,43.42,61,Female,Burkina Faso,line,,Positive,
LinkedIn,fc0285bb-6fdf-4f88-b7fb-79eafdf777b2,Link,Best whatever break south.,01/30/2023 18:31:23,851,189,81,4526,1869,59.98,43,Male,Aruba,strategy,,,
Twitter,5b025264-93f0-4b10-85ff-68c8b17a63dd,Video,Customer system mouth figure night million care.,10/11/2023 00:04:06,110,214,106,7094,2940,14.63,22,Male,China,film,,Negative,
Twitter,166e5b4b-2210-46dc-8f7f-a9704a1490fb,Image,Capital against agency PM card consumer it.,09/11/2021 15:00:19,246,495,49,2843,1518,52.04,59,Other,Mexico,build,,Negative,
LinkedIn,2ac54068-2694-45da-93b6-88b5ecbbcc30,Link,Subject leg than stage.,12/31/2022 23:42:18,879,310,25,9782,824,147.33,38,Other,Gabon,trial,1dfabff7-2dae-4493-aee3-c7f328469805,,274d8dec-707e-4ade-9ced-6a106e34ad75
Twitter,d8454226-2268-4d0d-b7f5-9a58004a29d5,Link,Until act recognize customer interview.,04/15/2022 01:32:27,370,26,86,8301,3425,14.07,57,Male,Cote d'Ivoire,especially,,,
Facebook,9cf14b03-1390-4131-af77-2652eb0feaf8,Image,Guy chance five say between court.,06/27/2021 21:51:29,184,456,153,4481,1214,65.32,52,Male,Nauru,number,,Negative,
LinkedIn,745c1df6-c4d1-4e18-a01e-b5ca213fdc7e,Image,Response dinner manager base.,06/08/2022 05:28:53,989,369,137,8735,2761,54.15,26,Other,Vietnam,actually,8a1b599c-0366-4b9b-ac97-b4d3c1108fdc,,
Twitter,63ad69f4-cb21-4bd0-95a3-a5e0b081bc2b,Video,Member too early carry.,10/08/2021 16:59:00,609,191,96,4006,3795,23.61,51,Female,North Macedonia,court,,,
Twitter,5af079da-1ed2-4342-8a1f-a88ceef61ab5,Link,North entire attention.,12/30/2022 23:33:15,324,405,184,6517,3479,26.24,45,Female,Brazil,culture,,Positive,
